,state,time,value,sector
2,AC,2013,18911,Commercial
1,AC,2013,716,Industrial
5,AC,2013,256,Public Lighting
4,AC,2013,3020,Public Sector
6,AC,2013,145,Public Service
0,AC,2013,181295,Residential
3,AC,2013,26782,Rural
1,AC,2013,231151,Total
9,AC,2014,19625,Commercial
8,AC,2014,716,Industrial
12,AC,2014,259,Public Lighting
11,AC,2014,3152,Public Sector
13,AC,2014,158,Public Service
7,AC,2014,188572,Residential
10,AC,2014,27533,Rural
28,AC,2014,240042,Total
16,AC,2015,20016,Commercial
15,AC,2015,712,Industrial
19,AC,2015,258,Public Lighting
18,AC,2015,3153,Public Sector
20,AC,2015,159,Public Service
14,AC,2015,193461,Residential
17,AC,2015,27487,Rural
55,AC,2015,245271,Total
23,AC,2016,20750,Commercial
22,AC,2016,677,Industrial
26,AC,2016,273,Public Lighting
25,AC,2016,3177,Public Sector
27,AC,2016,160,Public Service
21,AC,2016,201728,Residential
24,AC,2016,27425,Rural
82,AC,2016,254216,Total
30,AC,2017,21462,Commercial
29,AC,2017,650,Industrial
33,AC,2017,260,Public Lighting
32,AC,2017,3347,Public Sector
34,AC,2017,214,Public Service
28,AC,2017,208733,Residential
31,AC,2017,28433,Rural
109,AC,2017,263125,Total
37,AC,2018,22640,Commercial
36,AC,2018,572,Industrial
40,AC,2018,293,Public Lighting
39,AC,2018,3326,Public Sector
41,AC,2018,212,Public Service
35,AC,2018,211790,Residential
38,AC,2018,28089,Rural
136,AC,2018,266964,Total
44,AC,2019,21880,Commercial
43,AC,2019,271,Industrial
47,AC,2019,285,Public Lighting
46,AC,2019,3274,Public Sector
48,AC,2019,200,Public Service
42,AC,2019,212010,Residential
45,AC,2019,26487,Rural
163,AC,2019,264456,Total
51,AC,2020,22200,Commercial
50,AC,2020,270,Industrial
54,AC,2020,287,Public Lighting
53,AC,2020,3360,Public Sector
55,AC,2020,207,Public Service
49,AC,2020,225720,Residential
52,AC,2020,26506,Rural
190,AC,2020,278603,Total
58,AC,2021,22768,Commercial
57,AC,2021,278,Industrial
61,AC,2021,454,Public Lighting
60,AC,2021,2999,Public Sector
62,AC,2021,240,Public Service
56,AC,2021,226127,Residential
59,AC,2021,26236,Rural
217,AC,2021,279154,Total
65,AC,2022,23069,Commercial
64,AC,2022,295,Industrial
68,AC,2022,497,Public Lighting
67,AC,2022,3149,Public Sector
69,AC,2022,223,Public Service
63,AC,2022,239858,Residential
66,AC,2022,19320,Rural
244,AC,2022,286469,Total
2,AL,2013,57735,Commercial
1,AL,2013,2653,Industrial
5,AL,2013,198,Public Lighting
4,AL,2013,8588,Public Sector
6,AL,2013,1142,Public Service
0,AL,2013,901768,Residential
3,AL,2013,10434,Rural
13,AL,2013,982646,Total
9,AL,2014,59215,Commercial
8,AL,2014,2597,Industrial
12,AL,2014,204,Public Lighting
11,AL,2014,8680,Public Sector
13,AL,2014,1202,Public Service
7,AL,2014,931604,Residential
10,AL,2014,11600,Rural
40,AL,2014,1015206,Total
16,AL,2015,60405,Commercial
15,AL,2015,2510,Industrial
19,AL,2015,204,Public Lighting
18,AL,2015,8625,Public Sector
20,AL,2015,1312,Public Service
14,AL,2015,961346,Residential
17,AL,2015,12025,Rural
67,AL,2015,1046528,Total
23,AL,2016,64840,Commercial
22,AL,2016,2609,Industrial
26,AL,2016,205,Public Lighting
25,AL,2016,8801,Public Sector
27,AL,2016,1341,Public Service
21,AL,2016,1028041,Residential
24,AL,2016,12422,Rural
94,AL,2016,1118372,Total
30,AL,2017,67240,Commercial
29,AL,2017,2350,Industrial
33,AL,2017,226,Public Lighting
32,AL,2017,8695,Public Sector
34,AL,2017,1447,Public Service
28,AL,2017,1065789,Residential
31,AL,2017,12827,Rural
121,AL,2017,1158679,Total
37,AL,2018,67287,Commercial
36,AL,2018,2335,Industrial
40,AL,2018,267,Public Lighting
39,AL,2018,8923,Public Sector
41,AL,2018,1717,Public Service
35,AL,2018,1065986,Residential
38,AL,2018,12707,Rural
148,AL,2018,1159333,Total
44,AL,2019,68056,Commercial
43,AL,2019,2192,Industrial
47,AL,2019,278,Public Lighting
46,AL,2019,9003,Public Sector
48,AL,2019,1731,Public Service
42,AL,2019,1052601,Residential
45,AL,2019,25415,Rural
175,AL,2019,1159393,Total
51,AL,2020,66033,Commercial
50,AL,2020,2088,Industrial
54,AL,2020,304,Public Lighting
53,AL,2020,8978,Public Sector
55,AL,2020,1771,Public Service
49,AL,2020,1049793,Residential
52,AL,2020,32977,Rural
202,AL,2020,1162055,Total
58,AL,2021,65694,Commercial
57,AL,2021,1887,Industrial
61,AL,2021,291,Public Lighting
60,AL,2021,9122,Public Sector
62,AL,2021,1868,Public Service
56,AL,2021,1086611,Residential
59,AL,2021,33734,Rural
229,AL,2021,1199324,Total
65,AL,2022,72786,Commercial
64,AL,2022,2121,Industrial
68,AL,2022,892,Public Lighting
67,AL,2022,9393,Public Sector
69,AL,2022,2070,Public Service
63,AL,2022,1207371,Residential
66,AL,2022,31793,Rural
256,AL,2022,1326532,Total
2,AM,2013,70185,Commercial
1,AM,2013,3158,Industrial
5,AM,2013,661,Public Lighting
4,AM,2013,8578,Public Sector
6,AM,2013,932,Public Service
0,AM,2013,702376,Residential
3,AM,2013,40947,Rural
2,AM,2013,827235,Total
9,AM,2014,71750,Commercial
8,AM,2014,3082,Industrial
12,AM,2014,663,Public Lighting
11,AM,2014,8970,Public Sector
13,AM,2014,953,Public Service
7,AM,2014,733766,Residential
10,AM,2014,41154,Rural
29,AM,2014,860736,Total
16,AM,2015,73475,Commercial
15,AM,2015,3028,Industrial
19,AM,2015,664,Public Lighting
18,AM,2015,9394,Public Sector
20,AM,2015,880,Public Service
14,AM,2015,769171,Residential
17,AM,2015,41391,Rural
56,AM,2015,898365,Total
23,AM,2016,74915,Commercial
22,AM,2016,3012,Industrial
26,AM,2016,664,Public Lighting
25,AM,2016,9452,Public Sector
27,AM,2016,894,Public Service
21,AM,2016,813576,Residential
24,AM,2016,42444,Rural
83,AM,2016,945231,Total
30,AM,2017,76271,Commercial
29,AM,2017,2834,Industrial
33,AM,2017,666,Public Lighting
32,AM,2017,9525,Public Sector
34,AM,2017,913,Public Service
28,AM,2017,843242,Residential
31,AM,2017,43156,Rural
110,AM,2017,976874,Total
37,AM,2018,76969,Commercial
36,AM,2018,2720,Industrial
40,AM,2018,663,Public Lighting
39,AM,2018,9599,Public Sector
41,AM,2018,911,Public Service
35,AM,2018,866661,Residential
38,AM,2018,43758,Rural
137,AM,2018,1001550,Total
44,AM,2019,78634,Commercial
43,AM,2019,2704,Industrial
47,AM,2019,611,Public Lighting
46,AM,2019,9702,Public Sector
48,AM,2019,926,Public Service
42,AM,2019,883561,Residential
45,AM,2019,43686,Rural
164,AM,2019,1020088,Total
51,AM,2020,80400,Commercial
50,AM,2020,2642,Industrial
54,AM,2020,666,Public Lighting
53,AM,2020,9795,Public Sector
55,AM,2020,948,Public Service
49,AM,2020,906760,Residential
52,AM,2020,44070,Rural
191,AM,2020,1045536,Total
58,AM,2021,76708,Commercial
57,AM,2021,2300,Industrial
61,AM,2021,717,Public Lighting
60,AM,2021,9068,Public Sector
62,AM,2021,1721,Public Service
56,AM,2021,822538,Residential
59,AM,2021,40609,Rural
218,AM,2021,953900,Total
65,AM,2022,81105,Commercial
64,AM,2022,2254,Industrial
68,AM,2022,229,Public Lighting
67,AM,2022,9161,Public Sector
69,AM,2022,1837,Public Service
63,AM,2022,855613,Residential
66,AM,2022,38448,Rural
245,AM,2022,988880,Total
2,AP,2013,16771,Commercial
1,AP,2013,455,Industrial
5,AP,2013,95,Public Lighting
4,AP,2013,1859,Public Sector
6,AP,2013,171,Public Service
0,AP,2013,161344,Residential
3,AP,2013,1359,Rural
5,AP,2013,182091,Total
9,AP,2014,17100,Commercial
8,AP,2014,441,Industrial
12,AP,2014,93,Public Lighting
11,AP,2014,2112,Public Sector
13,AP,2014,130,Public Service
7,AP,2014,168849,Residential
10,AP,2014,1508,Rural
32,AP,2014,190271,Total
16,AP,2015,18258,Commercial
15,AP,2015,424,Industrial
19,AP,2015,57,Public Lighting
18,AP,2015,2107,Public Sector
20,AP,2015,122,Public Service
14,AP,2015,173284,Residential
17,AP,2015,1726,Rural
59,AP,2015,196012,Total
23,AP,2016,18006,Commercial
22,AP,2016,407,Industrial
26,AP,2016,27,Public Lighting
25,AP,2016,2015,Public Sector
27,AP,2016,119,Public Service
21,AP,2016,177310,Residential
24,AP,2016,2144,Rural
86,AP,2016,200066,Total
30,AP,2017,17904,Commercial
29,AP,2017,404,Industrial
33,AP,2017,27,Public Lighting
32,AP,2017,2126,Public Sector
34,AP,2017,112,Public Service
28,AP,2017,180918,Residential
31,AP,2017,2216,Rural
113,AP,2017,203747,Total
37,AP,2018,17839,Commercial
36,AP,2018,370,Industrial
40,AP,2018,30,Public Lighting
39,AP,2018,2155,Public Sector
41,AP,2018,105,Public Service
35,AP,2018,182254,Residential
38,AP,2018,2171,Rural
140,AP,2018,204965,Total
44,AP,2019,18436,Commercial
43,AP,2019,348,Industrial
47,AP,2019,85,Public Lighting
46,AP,2019,2148,Public Sector
48,AP,2019,99,Public Service
42,AP,2019,183418,Residential
45,AP,2019,2322,Rural
167,AP,2019,206897,Total
51,AP,2020,18471,Commercial
50,AP,2020,346,Industrial
54,AP,2020,88,Public Lighting
53,AP,2020,2161,Public Sector
55,AP,2020,99,Public Service
49,AP,2020,185066,Residential
52,AP,2020,2341,Rural
194,AP,2020,208613,Total
58,AP,2021,17527,Commercial
57,AP,2021,330,Industrial
61,AP,2021,84,Public Lighting
60,AP,2021,2053,Public Sector
62,AP,2021,95,Public Service
56,AP,2021,176375,Residential
59,AP,2021,2240,Rural
221,AP,2021,198743,Total
65,AP,2022,15529,Commercial
64,AP,2022,249,Industrial
68,AP,2022,1,Public Lighting
67,AP,2022,2148,Public Sector
69,AP,2022,131,Public Service
63,AP,2022,178462,Residential
66,AP,2022,2395,Rural
248,AP,2022,198955,Total
2,BA,2013,332904,Commercial
1,BA,2013,19573,Industrial
5,BA,2013,16426,Public Lighting
4,BA,2013,47281,Public Sector
6,BA,2013,10475,Public Service
0,BA,2013,4760737,Residential
3,BA,2013,208922,Rural
15,BA,2013,5396759,Total
9,BA,2014,347184,Commercial
8,BA,2014,16592,Industrial
12,BA,2014,16615,Public Lighting
11,BA,2014,48049,Public Sector
13,BA,2014,11095,Public Service
7,BA,2014,4943346,Residential
10,BA,2014,212111,Rural
42,BA,2014,5595443,Total
16,BA,2015,369791,Commercial
15,BA,2015,16004,Industrial
19,BA,2015,16856,Public Lighting
18,BA,2015,48351,Public Sector
20,BA,2015,11725,Public Service
14,BA,2015,5078127,Residential
17,BA,2015,214312,Rural
69,BA,2015,5755637,Total
23,BA,2016,377491,Commercial
22,BA,2016,15376,Industrial
26,BA,2016,17007,Public Lighting
25,BA,2016,48840,Public Sector
27,BA,2016,12336,Public Service
21,BA,2016,5164008,Residential
24,BA,2016,219914,Rural
96,BA,2016,5855452,Total
30,BA,2017,384245,Commercial
29,BA,2017,14916,Industrial
33,BA,2017,17110,Public Lighting
32,BA,2017,48489,Public Sector
34,BA,2017,12740,Public Service
28,BA,2017,5215019,Residential
31,BA,2017,226844,Rural
123,BA,2017,5919837,Total
37,BA,2018,398134,Commercial
36,BA,2018,14525,Industrial
40,BA,2018,17343,Public Lighting
39,BA,2018,48275,Public Sector
41,BA,2018,13218,Public Service
35,BA,2018,5288507,Residential
38,BA,2018,232595,Rural
150,BA,2018,6013095,Total
44,BA,2019,427346,Commercial
43,BA,2019,13994,Industrial
47,BA,2019,17657,Public Lighting
46,BA,2019,48513,Public Sector
48,BA,2019,13825,Public Service
42,BA,2019,5402274,Residential
45,BA,2019,201298,Rural
177,BA,2019,6125462,Total
51,BA,2020,409205,Commercial
50,BA,2020,13608,Industrial
54,BA,2020,5668,Public Lighting
53,BA,2020,48810,Public Sector
55,BA,2020,14173,Public Service
49,BA,2020,5507706,Residential
52,BA,2020,225813,Rural
204,BA,2020,6225560,Total
58,BA,2021,422452,Commercial
57,BA,2021,13267,Industrial
61,BA,2021,6218,Public Lighting
60,BA,2021,48843,Public Sector
62,BA,2021,14274,Public Service
56,BA,2021,5648429,Residential
59,BA,2021,219215,Rural
231,BA,2021,6373297,Total
65,BA,2022,434728,Commercial
64,BA,2022,10152,Industrial
68,BA,2022,7137,Public Lighting
67,BA,2022,48317,Public Sector
69,BA,2022,13251,Public Service
63,BA,2022,5786918,Residential
66,BA,2022,201979,Rural
258,BA,2022,6503069,Total
2,CE,2013,173382,Commercial
1,CE,2013,6075,Industrial
5,CE,2013,9323,Public Lighting
4,CE,2013,28573,Public Sector
6,CE,2013,2060,Public Service
0,CE,2013,2516776,Residential
3,CE,2013,447988,Rural
9,CE,2013,3184556,Total
9,CE,2014,176549,Commercial
8,CE,2014,6104,Industrial
12,CE,2014,9507,Public Lighting
11,CE,2014,33554,Public Sector
13,CE,2014,2129,Public Service
7,CE,2014,2590354,Residential
10,CE,2014,476276,Rural
36,CE,2014,3294860,Total
16,CE,2015,176671,Commercial
15,CE,2015,5948,Industrial
19,CE,2015,10161,Public Lighting
18,CE,2015,33995,Public Sector
20,CE,2015,2530,Public Service
14,CE,2015,2610573,Residential
17,CE,2015,538147,Rural
63,CE,2015,3378427,Total
23,CE,2016,174418,Commercial
22,CE,2016,5949,Industrial
26,CE,2016,10370,Public Lighting
25,CE,2016,34249,Public Sector
27,CE,2016,2899,Public Service
21,CE,2016,2630687,Residential
24,CE,2016,558013,Rural
90,CE,2016,3416986,Total
30,CE,2017,175254,Commercial
29,CE,2017,5971,Industrial
33,CE,2017,10603,Public Lighting
32,CE,2017,33487,Public Sector
34,CE,2017,3279,Public Service
28,CE,2017,2693590,Residential
31,CE,2017,554899,Rural
117,CE,2017,3477473,Total
37,CE,2018,166780,Commercial
36,CE,2018,5254,Industrial
40,CE,2018,6982,Public Lighting
39,CE,2018,30576,Public Sector
41,CE,2018,3674,Public Service
35,CE,2018,2788825,Residential
38,CE,2018,529491,Rural
144,CE,2018,3531583,Total
44,CE,2019,176696,Commercial
43,CE,2019,5814,Industrial
47,CE,2019,11036,Public Lighting
46,CE,2019,30513,Public Sector
48,CE,2019,7894,Public Service
42,CE,2019,2935298,Residential
45,CE,2019,561207,Rural
171,CE,2019,3728764,Total
51,CE,2020,168232,Commercial
50,CE,2020,5645,Industrial
54,CE,2020,12292,Public Lighting
53,CE,2020,46538,Public Sector
55,CE,2020,11224,Public Service
49,CE,2020,2994418,Residential
52,CE,2020,569432,Rural
198,CE,2020,3808096,Total
58,CE,2021,165201,Commercial
57,CE,2021,5423,Industrial
61,CE,2021,29998,Public Lighting
60,CE,2021,284612,Public Sector
62,CE,2021,10955,Public Service
56,CE,2021,3060243,Residential
59,CE,2021,529349,Rural
225,CE,2021,4086097,Total
65,CE,2022,181769,Commercial
64,CE,2022,5979,Industrial
68,CE,2022,11658,Public Lighting
67,CE,2022,31267,Public Sector
69,CE,2022,8735,Public Service
63,CE,2022,3353496,Residential
66,CE,2022,532658,Rural
252,CE,2022,4125885,Total
2,DF,2013,104954,Commercial
1,DF,2013,1727,Industrial
5,DF,2013,19,Public Lighting
4,DF,2013,5792,Public Sector
6,DF,2013,286,Public Service
0,DF,2013,824525,Residential
3,DF,2013,9974,Rural
26,DF,2013,947327,Total
9,DF,2014,106665,Commercial
8,DF,2014,1674,Industrial
12,DF,2014,19,Public Lighting
11,DF,2014,6212,Public Sector
13,DF,2014,315,Public Service
7,DF,2014,855945,Residential
10,DF,2014,10098,Rural
53,DF,2014,980980,Total
16,DF,2015,108651,Commercial
15,DF,2015,1690,Industrial
19,DF,2015,19,Public Lighting
18,DF,2015,5859,Public Sector
20,DF,2015,313,Public Service
14,DF,2015,885228,Residential
17,DF,2015,10223,Rural
80,DF,2015,1012035,Total
23,DF,2016,108893,Commercial
22,DF,2016,1609,Industrial
26,DF,2016,19,Public Lighting
25,DF,2016,5940,Public Sector
27,DF,2016,326,Public Service
21,DF,2016,908696,Residential
24,DF,2016,10434,Rural
107,DF,2016,1035967,Total
30,DF,2017,110661,Commercial
29,DF,2017,1555,Industrial
33,DF,2017,19,Public Lighting
32,DF,2017,6328,Public Sector
34,DF,2017,337,Public Service
28,DF,2017,927342,Residential
31,DF,2017,10556,Rural
134,DF,2017,1056848,Total
37,DF,2018,115103,Commercial
36,DF,2018,1450,Industrial
40,DF,2018,19,Public Lighting
39,DF,2018,6445,Public Sector
41,DF,2018,346,Public Service
35,DF,2018,946964,Residential
38,DF,2018,10654,Rural
161,DF,2018,1081030,Total
44,DF,2019,115447,Commercial
43,DF,2019,1405,Industrial
47,DF,2019,23,Public Lighting
46,DF,2019,6076,Public Sector
48,DF,2019,352,Public Service
42,DF,2019,952177,Residential
45,DF,2019,10678,Rural
188,DF,2019,1086202,Total
51,DF,2020,114757,Commercial
50,DF,2020,1387,Industrial
54,DF,2020,22,Public Lighting
53,DF,2020,6113,Public Sector
55,DF,2020,362,Public Service
49,DF,2020,959253,Residential
52,DF,2020,10716,Rural
215,DF,2020,1092653,Total
58,DF,2021,115774,Commercial
57,DF,2021,1313,Industrial
61,DF,2021,22,Public Lighting
60,DF,2021,6177,Public Sector
62,DF,2021,372,Public Service
56,DF,2021,987930,Residential
59,DF,2021,10697,Rural
242,DF,2021,1122351,Total
65,DF,2022,115495,Commercial
64,DF,2022,1279,Industrial
68,DF,2022,19,Public Lighting
67,DF,2022,5884,Public Sector
69,DF,2022,372,Public Service
63,DF,2022,1009764,Residential
66,DF,2022,10050,Rural
269,DF,2022,1142933,Total
2,ES,2013,124832,Commercial
1,ES,2013,13463,Industrial
5,ES,2013,412,Public Lighting
4,ES,2013,10995,Public Sector
6,ES,2013,1350,Public Service
0,ES,2013,1134462,Residential
3,ES,2013,193233,Rural
18,ES,2013,1478977,Total
9,ES,2014,127869,Commercial
8,ES,2014,13838,Industrial
12,ES,2014,346,Public Lighting
11,ES,2014,11145,Public Sector
13,ES,2014,1249,Public Service
7,ES,2014,1175518,Residential
10,ES,2014,199222,Rural
45,ES,2014,1529425,Total
16,ES,2015,129168,Commercial
15,ES,2015,13774,Industrial
19,ES,2015,439,Public Lighting
18,ES,2015,12280,Public Sector
20,ES,2015,1528,Public Service
14,ES,2015,1217576,Residential
17,ES,2015,207446,Rural
72,ES,2015,1582457,Total
23,ES,2016,130560,Commercial
22,ES,2016,13519,Industrial
26,ES,2016,677,Public Lighting
25,ES,2016,12163,Public Sector
27,ES,2016,1582,Public Service
21,ES,2016,1248911,Residential
24,ES,2016,212029,Rural
99,ES,2016,1619687,Total
30,ES,2017,132783,Commercial
29,ES,2017,13273,Industrial
33,ES,2017,634,Public Lighting
32,ES,2017,12363,Public Sector
34,ES,2017,1686,Public Service
28,ES,2017,1268307,Residential
31,ES,2017,218611,Rural
126,ES,2017,1647912,Total
37,ES,2018,133726,Commercial
36,ES,2018,12580,Industrial
40,ES,2018,678,Public Lighting
39,ES,2018,12292,Public Sector
41,ES,2018,1725,Public Service
35,ES,2018,1289688,Residential
38,ES,2018,225212,Rural
153,ES,2018,1676145,Total
44,ES,2019,137252,Commercial
43,ES,2019,12365,Industrial
47,ES,2019,656,Public Lighting
46,ES,2019,12466,Public Sector
48,ES,2019,1832,Public Service
42,ES,2019,1310465,Residential
45,ES,2019,227238,Rural
180,ES,2019,1702517,Total
51,ES,2020,138856,Commercial
50,ES,2020,11964,Industrial
54,ES,2020,635,Public Lighting
53,ES,2020,12494,Public Sector
55,ES,2020,1859,Public Service
49,ES,2020,1342347,Residential
52,ES,2020,228457,Rural
207,ES,2020,1736865,Total
58,ES,2021,141418,Commercial
57,ES,2021,11924,Industrial
61,ES,2021,45,Public Lighting
60,ES,2021,12629,Public Sector
62,ES,2021,1946,Public Service
56,ES,2021,1379598,Residential
59,ES,2021,227295,Rural
234,ES,2021,1775117,Total
65,ES,2022,144299,Commercial
64,ES,2022,11495,Industrial
68,ES,2022,2386,Public Lighting
67,ES,2022,12902,Public Sector
69,ES,2022,1997,Public Service
63,ES,2022,1421765,Residential
66,ES,2022,221481,Rural
261,ES,2022,1816610,Total
2,GO,2013,223304,Commercial
1,GO,2013,11362,Industrial
5,GO,2013,640,Public Lighting
4,GO,2013,17785,Public Sector
6,GO,2013,2241,Public Service
0,GO,2013,2214367,Residential
3,GO,2013,177558,Rural
25,GO,2013,2647550,Total
9,GO,2014,225377,Commercial
8,GO,2014,10965,Industrial
12,GO,2014,657,Public Lighting
11,GO,2014,18393,Public Sector
13,GO,2014,2351,Public Service
7,GO,2014,2310333,Residential
10,GO,2014,181386,Rural
52,GO,2014,2749741,Total
16,GO,2015,225180,Commercial
15,GO,2015,10531,Industrial
19,GO,2015,656,Public Lighting
18,GO,2015,17822,Public Sector
20,GO,2015,2417,Public Service
14,GO,2015,2394883,Residential
17,GO,2015,183795,Rural
79,GO,2015,2835556,Total
23,GO,2016,219004,Commercial
22,GO,2016,10004,Industrial
26,GO,2016,656,Public Lighting
25,GO,2016,17950,Public Sector
27,GO,2016,2531,Public Service
21,GO,2016,2423618,Residential
24,GO,2016,185264,Rural
106,GO,2016,2859289,Total
30,GO,2017,216852,Commercial
29,GO,2017,9588,Industrial
33,GO,2017,659,Public Lighting
32,GO,2017,18416,Public Sector
34,GO,2017,2630,Public Service
28,GO,2017,2467839,Residential
31,GO,2017,185938,Rural
133,GO,2017,2902193,Total
37,GO,2018,212202,Commercial
36,GO,2018,9344,Industrial
40,GO,2018,646,Public Lighting
39,GO,2018,18328,Public Sector
41,GO,2018,2693,Public Service
35,GO,2018,2532498,Residential
38,GO,2018,191429,Rural
160,GO,2018,2967666,Total
44,GO,2019,211468,Commercial
43,GO,2019,9064,Industrial
47,GO,2019,648,Public Lighting
46,GO,2019,19016,Public Sector
48,GO,2019,2956,Public Service
42,GO,2019,2613056,Residential
45,GO,2019,195914,Rural
187,GO,2019,3052673,Total
51,GO,2020,209213,Commercial
50,GO,2020,8958,Industrial
54,GO,2020,314,Public Lighting
53,GO,2020,19426,Public Sector
55,GO,2020,3048,Public Service
49,GO,2020,2704954,Residential
52,GO,2020,206015,Rural
214,GO,2020,3152474,Total
58,GO,2021,205820,Commercial
57,GO,2021,8740,Industrial
61,GO,2021,285,Public Lighting
60,GO,2021,19450,Public Sector
62,GO,2021,3128,Public Service
56,GO,2021,2773025,Residential
59,GO,2021,216609,Rural
241,GO,2021,3227576,Total
65,GO,2022,205402,Commercial
64,GO,2022,8654,Industrial
68,GO,2022,320,Public Lighting
67,GO,2022,19712,Public Sector
69,GO,2022,3277,Public Service
63,GO,2022,2851893,Residential
66,GO,2022,241799,Rural
268,GO,2022,3332695,Total
2,MA,2013,134985,Commercial
1,MA,2013,8985,Industrial
5,MA,2013,949,Public Lighting
