,state,time,value,sector
4,MA,2013,21963,Public Sector
6,MA,2013,5847,Public Service
0,MA,2013,1893693,Residential
3,MA,2013,59170,Rural
7,MA,2013,2125963,Total
9,MA,2014,146021,Commercial
8,MA,2014,8688,Industrial
12,MA,2014,975,Public Lighting
11,MA,2014,22834,Public Sector
13,MA,2014,6122,Public Service
7,MA,2014,1954135,Residential
10,MA,2014,58657,Rural
34,MA,2014,2197826,Total
16,MA,2015,151361,Commercial
15,MA,2015,8511,Industrial
19,MA,2015,1025,Public Lighting
18,MA,2015,23149,Public Sector
20,MA,2015,6431,Public Service
14,MA,2015,2012172,Residential
17,MA,2015,58649,Rural
61,MA,2015,2261602,Total
23,MA,2016,154754,Commercial
22,MA,2016,8408,Industrial
26,MA,2016,1025,Public Lighting
25,MA,2016,23665,Public Sector
27,MA,2016,6516,Public Service
21,MA,2016,2104930,Residential
24,MA,2016,59194,Rural
88,MA,2016,2358810,Total
30,MA,2017,155636,Commercial
29,MA,2017,8121,Industrial
33,MA,2017,1149,Public Lighting
32,MA,2017,23643,Public Sector
34,MA,2017,6739,Public Service
28,MA,2017,2178275,Residential
31,MA,2017,59718,Rural
115,MA,2017,2433577,Total
37,MA,2018,148648,Commercial
36,MA,2018,7732,Industrial
40,MA,2018,1207,Public Lighting
39,MA,2018,24203,Public Sector
41,MA,2018,6767,Public Service
35,MA,2018,2242555,Residential
38,MA,2018,60324,Rural
142,MA,2018,2491732,Total
44,MA,2019,142788,Commercial
43,MA,2019,7545,Industrial
47,MA,2019,1181,Public Lighting
46,MA,2019,24831,Public Sector
48,MA,2019,7059,Public Service
42,MA,2019,2276955,Residential
45,MA,2019,88131,Rural
169,MA,2019,2548782,Total
51,MA,2020,135107,Commercial
50,MA,2020,7169,Industrial
54,MA,2020,1248,Public Lighting
53,MA,2020,25312,Public Sector
55,MA,2020,7283,Public Service
49,MA,2020,2308962,Residential
52,MA,2020,109714,Rural
196,MA,2020,2595105,Total
58,MA,2021,125803,Commercial
57,MA,2021,6473,Industrial
61,MA,2021,1420,Public Lighting
60,MA,2021,25698,Public Sector
62,MA,2021,7433,Public Service
56,MA,2021,2327284,Residential
59,MA,2021,135066,Rural
223,MA,2021,2629458,Total
65,MA,2022,59203,Commercial
64,MA,2022,2624,Industrial
68,MA,2022,1597,Public Lighting
67,MA,2022,27394,Public Sector
69,MA,2022,7862,Public Service
63,MA,2022,2454954,Residential
66,MA,2022,122815,Rural
250,MA,2022,2676735,Total
2,MG,2013,754863,Commercial
1,MG,2013,82500,Industrial
5,MG,2013,4147,Public Lighting
4,MG,2013,65569,Public Sector
6,MG,2013,10577,Public Service
0,MG,2013,6675861,Residential
3,MG,2013,750622,Rural
17,MG,2013,8345069,Total
9,MG,2014,766069,Commercial
8,MG,2014,82470,Industrial
12,MG,2014,4352,Public Lighting
11,MG,2014,67322,Public Sector
13,MG,2014,11211,Public Service
7,MG,2014,6884946,Residential
10,MG,2014,769046,Rural
44,MG,2014,8586343,Total
16,MG,2015,760838,Commercial
15,MG,2015,80118,Industrial
19,MG,2015,4502,Public Lighting
18,MG,2015,68010,Public Sector
20,MG,2015,11870,Public Service
14,MG,2015,6981499,Residential
17,MG,2015,761784,Rural
71,MG,2015,8669569,Total
23,MG,2016,762823,Commercial
22,MG,2016,79487,Industrial
26,MG,2016,6029,Public Lighting
25,MG,2016,68708,Public Sector
27,MG,2016,13671,Public Service
21,MG,2016,7145628,Residential
24,MG,2016,775107,Rural
98,MG,2016,8852395,Total
30,MG,2017,764779,Commercial
29,MG,2017,78880,Industrial
33,MG,2017,6511,Public Lighting
32,MG,2017,68713,Public Sector
34,MG,2017,13869,Public Service
28,MG,2017,7230122,Residential
31,MG,2017,791677,Rural
125,MG,2017,8955490,Total
37,MG,2018,766848,Commercial
36,MG,2018,77172,Industrial
40,MG,2018,6778,Public Lighting
39,MG,2018,69531,Public Sector
41,MG,2018,14377,Public Service
35,MG,2018,7292962,Residential
38,MG,2018,799652,Rural
152,MG,2018,9028254,Total
44,MG,2019,818134,Commercial
43,MG,2019,34715,Industrial
47,MG,2019,7044,Public Lighting
46,MG,2019,70413,Public Sector
48,MG,2019,14701,Public Service
42,MG,2019,7454286,Residential
45,MG,2019,785376,Rural
179,MG,2019,9185702,Total
51,MG,2020,823853,Commercial
50,MG,2020,34546,Industrial
54,MG,2020,6505,Public Lighting
53,MG,2020,71742,Public Sector
55,MG,2020,14703,Public Service
49,MG,2020,7621165,Residential
52,MG,2020,776198,Rural
206,MG,2020,9349615,Total
58,MG,2021,841469,Commercial
57,MG,2021,34614,Industrial
61,MG,2021,7063,Public Lighting
60,MG,2021,72993,Public Sector
62,MG,2021,14735,Public Service
56,MG,2021,7809502,Residential
59,MG,2021,761204,Rural
233,MG,2021,9542500,Total
65,MG,2022,999537,Commercial
64,MG,2022,34358,Industrial
68,MG,2022,7449,Public Lighting
67,MG,2022,74889,Public Sector
69,MG,2022,14673,Public Service
63,MG,2022,8040422,Residential
66,MG,2022,550703,Rural
260,MG,2022,9722990,Total
2,MS,2013,78754,Commercial
1,MS,2013,7804,Industrial
5,MS,2013,2393,Public Lighting
4,MS,2013,8990,Public Sector
6,MS,2013,1030,Public Service
0,MS,2013,776904,Residential
3,MS,2013,88523,Rural
23,MS,2013,964597,Total
9,MS,2014,80430,Commercial
8,MS,2014,8795,Industrial
12,MS,2014,2418,Public Lighting
11,MS,2014,9289,Public Sector
13,MS,2014,1130,Public Service
7,MS,2014,808216,Residential
10,MS,2014,90986,Rural
50,MS,2014,1001463,Total
16,MS,2015,81903,Commercial
15,MS,2015,8817,Industrial
19,MS,2015,2538,Public Lighting
18,MS,2015,9270,Public Sector
20,MS,2015,1274,Public Service
14,MS,2015,839479,Residential
17,MS,2015,91839,Rural
77,MS,2015,1035319,Total
23,MS,2016,83236,Commercial
22,MS,2016,8742,Industrial
26,MS,2016,2649,Public Lighting
25,MS,2016,9289,Public Sector
27,MS,2016,1360,Public Service
21,MS,2016,859806,Residential
24,MS,2016,93623,Rural
104,MS,2016,1058913,Total
30,MS,2017,84901,Commercial
29,MS,2017,8751,Industrial
33,MS,2017,2686,Public Lighting
32,MS,2017,9293,Public Sector
34,MS,2017,1373,Public Service
28,MS,2017,883454,Residential
31,MS,2017,94667,Rural
131,MS,2017,1085345,Total
37,MS,2018,83984,Commercial
36,MS,2018,8197,Industrial
40,MS,2018,2774,Public Lighting
39,MS,2018,9375,Public Sector
41,MS,2018,1406,Public Service
35,MS,2018,888842,Residential
38,MS,2018,94330,Rural
158,MS,2018,1089142,Total
44,MS,2019,84246,Commercial
43,MS,2019,7717,Industrial
47,MS,2019,2835,Public Lighting
46,MS,2019,9416,Public Sector
48,MS,2019,1449,Public Service
42,MS,2019,911472,Residential
45,MS,2019,94393,Rural
185,MS,2019,1111768,Total
51,MS,2020,85021,Commercial
50,MS,2020,7707,Industrial
54,MS,2020,3300,Public Lighting
53,MS,2020,9076,Public Sector
55,MS,2020,1509,Public Service
49,MS,2020,939888,Residential
52,MS,2020,93713,Rural
212,MS,2020,1140448,Total
58,MS,2021,86062,Commercial
57,MS,2021,7508,Industrial
61,MS,2021,3063,Public Lighting
60,MS,2021,9423,Public Sector
62,MS,2021,1592,Public Service
56,MS,2021,988288,Residential
59,MS,2021,93502,Rural
239,MS,2021,1189682,Total
65,MS,2022,86720,Commercial
64,MS,2022,7377,Industrial
68,MS,2022,3146,Public Lighting
67,MS,2022,9572,Public Sector
69,MS,2022,1611,Public Service
63,MS,2022,991382,Residential
66,MS,2022,83401,Rural
266,MS,2022,1183457,Total
2,MT,2013,90332,Commercial
1,MT,2013,21538,Industrial
5,MT,2013,759,Public Lighting
4,MT,2013,11473,Public Sector
6,MT,2013,1162,Public Service
0,MT,2013,934300,Residential
3,MT,2013,159738,Rural
24,MT,2013,1219591,Total
9,MT,2014,94255,Commercial
8,MT,2014,22635,Industrial
12,MT,2014,792,Public Lighting
11,MT,2014,11709,Public Sector
13,MT,2014,1204,Public Service
7,MT,2014,976619,Residential
10,MT,2014,162165,Rural
51,MT,2014,1269672,Total
16,MT,2015,94591,Commercial
15,MT,2015,22809,Industrial
19,MT,2015,843,Public Lighting
18,MT,2015,11803,Public Sector
20,MT,2015,1250,Public Service
14,MT,2015,999611,Residential
17,MT,2015,165532,Rural
78,MT,2015,1296741,Total
23,MT,2016,93629,Commercial
22,MT,2016,20763,Industrial
26,MT,2016,873,Public Lighting
25,MT,2016,11993,Public Sector
27,MT,2016,1273,Public Service
21,MT,2016,1030981,Residential
24,MT,2016,168453,Rural
105,MT,2016,1328281,Total
30,MT,2017,93947,Commercial
29,MT,2017,19526,Industrial
33,MT,2017,908,Public Lighting
32,MT,2017,12048,Public Sector
34,MT,2017,1310,Public Service
28,MT,2017,1063251,Residential
31,MT,2017,174552,Rural
132,MT,2017,1365862,Total
37,MT,2018,94495,Commercial
36,MT,2018,19005,Industrial
40,MT,2018,792,Public Lighting
39,MT,2018,12117,Public Sector
41,MT,2018,1374,Public Service
35,MT,2018,1093130,Residential
38,MT,2018,183177,Rural
159,MT,2018,1404405,Total
44,MT,2019,96060,Commercial
43,MT,2019,18513,Industrial
47,MT,2019,803,Public Lighting
46,MT,2019,12043,Public Sector
48,MT,2019,1490,Public Service
42,MT,2019,1135097,Residential
45,MT,2019,193628,Rural
186,MT,2019,1457950,Total
51,MT,2020,96999,Commercial
50,MT,2020,18473,Industrial
54,MT,2020,804,Public Lighting
53,MT,2020,12445,Public Sector
55,MT,2020,1442,Public Service
49,MT,2020,1177135,Residential
52,MT,2020,200319,Rural
213,MT,2020,1507933,Total
58,MT,2021,100222,Commercial
57,MT,2021,18013,Industrial
61,MT,2021,672,Public Lighting
60,MT,2021,12576,Public Sector
62,MT,2021,1533,Public Service
56,MT,2021,1226145,Residential
59,MT,2021,203538,Rural
240,MT,2021,1563010,Total
65,MT,2022,102461,Commercial
64,MT,2022,17421,Industrial
68,MT,2022,754,Public Lighting
67,MT,2022,12973,Public Sector
69,MT,2022,1545,Public Service
63,MT,2022,1289692,Residential
66,MT,2022,173343,Rural
267,MT,2022,1598499,Total
2,PA,2013,153641,Commercial
1,PA,2013,4049,Industrial
5,PA,2013,364,Public Lighting
4,PA,2013,17691,Public Sector
6,PA,2013,1831,Public Service
0,PA,2013,1736204,Residential
3,PA,2013,119061,Rural
4,PA,2013,2033106,Total
9,PA,2014,161347,Commercial
8,PA,2014,4046,Industrial
12,PA,2014,442,Public Lighting
11,PA,2014,18178,Public Sector
13,PA,2014,1870,Public Service
7,PA,2014,1882290,Residential
10,PA,2014,117332,Rural
31,PA,2014,2185789,Total
16,PA,2015,168116,Commercial
15,PA,2015,4021,Industrial
19,PA,2015,488,Public Lighting
18,PA,2015,18546,Public Sector
20,PA,2015,1999,Public Service
14,PA,2015,1987682,Residential
17,PA,2015,129883,Rural
58,PA,2015,2311029,Total
23,PA,2016,176358,Commercial
22,PA,2016,4277,Industrial
26,PA,2016,463,Public Lighting
25,PA,2016,19023,Public Sector
27,PA,2016,2106,Public Service
21,PA,2016,2096076,Residential
24,PA,2016,144895,Rural
85,PA,2016,2443463,Total
30,PA,2017,180343,Commercial
29,PA,2017,3997,Industrial
33,PA,2017,480,Public Lighting
32,PA,2017,19031,Public Sector
34,PA,2017,2087,Public Service
28,PA,2017,2226751,Residential
31,PA,2017,163256,Rural
112,PA,2017,2596163,Total
37,PA,2018,175271,Commercial
36,PA,2018,4081,Industrial
40,PA,2018,481,Public Lighting
39,PA,2018,19250,Public Sector
41,PA,2018,2113,Public Service
35,PA,2018,2271725,Residential
38,PA,2018,170614,Rural
139,PA,2018,2643790,Total
44,PA,2019,173483,Commercial
43,PA,2019,4030,Industrial
47,PA,2019,519,Public Lighting
46,PA,2019,19563,Public Sector
48,PA,2019,2154,Public Service
42,PA,2019,2323588,Residential
45,PA,2019,187004,Rural
166,PA,2019,2710597,Total
51,PA,2020,166229,Commercial
50,PA,2020,3956,Industrial
54,PA,2020,504,Public Lighting
53,PA,2020,19752,Public Sector
55,PA,2020,2216,Public Service
49,PA,2020,2360979,Residential
52,PA,2020,179242,Rural
193,PA,2020,2733140,Total
58,PA,2021,162436,Commercial
57,PA,2021,4239,Industrial
61,PA,2021,531,Public Lighting
60,PA,2021,19922,Public Sector
62,PA,2021,2260,Public Service
56,PA,2021,2432180,Residential
59,PA,2021,189053,Rural
220,PA,2021,2810890,Total
65,PA,2022,161292,Commercial
64,PA,2022,4182,Industrial
68,PA,2022,539,Public Lighting
67,PA,2022,20492,Public Sector
69,PA,2022,2297,Public Service
63,PA,2022,2543350,Residential
66,PA,2022,180800,Rural
247,PA,2022,2913220,Total
2,PB,2013,105844,Commercial
1,PB,2013,5159,Industrial
5,PB,2013,702,Public Lighting
4,PB,2013,16696,Public Sector
6,PB,2013,1070,Public Service
0,PB,2013,1192623,Residential
3,PB,2013,130095,Rural
11,PB,2013,1452411,Total
9,PB,2014,107743,Commercial
8,PB,2014,5094,Industrial
12,PB,2014,718,Public Lighting
11,PB,2014,17217,Public Sector
13,PB,2014,1091,Public Service
7,PB,2014,1240947,Residential
10,PB,2014,135980,Rural
38,PB,2014,1509035,Total
16,PB,2015,108699,Commercial
15,PB,2015,4916,Industrial
19,PB,2015,759,Public Lighting
18,PB,2015,17340,Public Sector
20,PB,2015,1096,Public Service
14,PB,2015,1286156,Residential
17,PB,2015,140660,Rural
65,PB,2015,1559893,Total
23,PB,2016,108162,Commercial
22,PB,2016,4738,Industrial
26,PB,2016,788,Public Lighting
25,PB,2016,17634,Public Sector
27,PB,2016,1136,Public Service
21,PB,2016,1311074,Residential
24,PB,2016,143538,Rural
92,PB,2016,1587330,Total
30,PB,2017,108466,Commercial
29,PB,2017,4595,Industrial
33,PB,2017,804,Public Lighting
32,PB,2017,17732,Public Sector
34,PB,2017,1133,Public Service
28,PB,2017,1334764,Residential
31,PB,2017,146577,Rural
119,PB,2017,1614340,Total
37,PB,2018,108963,Commercial
36,PB,2018,4515,Industrial
40,PB,2018,797,Public Lighting
39,PB,2018,17805,Public Sector
41,PB,2018,1136,Public Service
35,PB,2018,1354210,Residential
38,PB,2018,149197,Rural
146,PB,2018,1636897,Total
44,PB,2019,109677,Commercial
43,PB,2019,4421,Industrial
47,PB,2019,818,Public Lighting
46,PB,2019,18252,Public Sector
48,PB,2019,1074,Public Service
42,PB,2019,1372335,Residential
45,PB,2019,151368,Rural
173,PB,2019,1658252,Total
51,PB,2020,111212,Commercial
50,PB,2020,4510,Industrial
54,PB,2020,752,Public Lighting
53,PB,2020,18501,Public Sector
55,PB,2020,1084,Public Service
49,PB,2020,1418189,Residential
52,PB,2020,152914,Rural
200,PB,2020,1707481,Total
58,PB,2021,112719,Commercial
57,PB,2021,4485,Industrial
61,PB,2021,833,Public Lighting
60,PB,2021,18689,Public Sector
62,PB,2021,1087,Public Service
56,PB,2021,1488858,Residential
59,PB,2021,147934,Rural
227,PB,2021,1774931,Total
65,PB,2022,114390,Commercial
64,PB,2022,4541,Industrial
68,PB,2022,957,Public Lighting
67,PB,2022,19135,Public Sector
69,PB,2022,1133,Public Service
63,PB,2022,1506038,Residential
66,PB,2022,125661,Rural
254,PB,2022,1772181,Total
2,PE,2013,203306,Commercial
1,PE,2013,12065,Industrial
5,PE,2013,5455,Public Lighting
4,PE,2013,22891,Public Sector
6,PE,2013,3205,Public Service
0,PE,2013,2927466,Residential
3,PE,2013,156291,Rural
12,PE,2013,3330940,Total
9,PE,2014,215501,Commercial
8,PE,2014,4892,Industrial
12,PE,2014,5318,Public Lighting
11,PE,2014,23145,Public Sector
13,PE,2014,3343,Public Service
7,PE,2014,3022703,Residential
10,PE,2014,157736,Rural
39,PE,2014,3433627,Total
16,PE,2015,227862,Commercial
15,PE,2015,4996,Industrial
19,PE,2015,5330,Public Lighting
18,PE,2015,23114,Public Sector
20,PE,2015,3499,Public Service
14,PE,2015,3101987,Residential
17,PE,2015,160632,Rural
66,PE,2015,3527767,Total
23,PE,2016,231298,Commercial
22,PE,2016,5423,Industrial
26,PE,2016,5398,Public Lighting
25,PE,2016,22528,Public Sector
27,PE,2016,3934,Public Service
21,PE,2016,3172284,Residential
24,PE,2016,160688,Rural
93,PE,2016,3601860,Total
30,PE,2017,230271,Commercial
29,PE,2017,5199,Industrial
33,PE,2017,5588,Public Lighting
32,PE,2017,22480,Public Sector
34,PE,2017,4066,Public Service
28,PE,2017,3227078,Residential
31,PE,2017,161795,Rural
120,PE,2017,3656814,Total
37,PE,2018,227874,Commercial
36,PE,2018,4958,Industrial
40,PE,2018,5844,Public Lighting
39,PE,2018,22489,Public Sector
41,PE,2018,4157,Public Service
35,PE,2018,3266551,Residential
38,PE,2018,161482,Rural
147,PE,2018,3693663,Total
44,PE,2019,232632,Commercial
43,PE,2019,4962,Industrial
47,PE,2019,6039,Public Lighting
46,PE,2019,22256,Public Sector
48,PE,2019,4218,Public Service
42,PE,2019,3330803,Residential
45,PE,2019,155997,Rural
174,PE,2019,3757220,Total
51,PE,2020,221151,Commercial
50,PE,2020,4733,Industrial
54,PE,2020,6318,Public Lighting
53,PE,2020,21996,Public Sector
55,PE,2020,4285,Public Service
49,PE,2020,3393784,Residential
52,PE,2020,143298,Rural
201,PE,2020,3795855,Total
58,PE,2021,225283,Commercial
57,PE,2021,4810,Industrial
61,PE,2021,7112,Public Lighting
60,PE,2021,22121,Public Sector
62,PE,2021,4265,Public Service
56,PE,2021,3477630,Residential
59,PE,2021,139876,Rural
228,PE,2021,3881415,Total
65,PE,2022,228610,Commercial
64,PE,2022,4892,Industrial
68,PE,2022,7373,Public Lighting
67,PE,2022,21876,Public Sector
69,PE,2022,4183,Public Service
63,PE,2022,3548504,Residential
66,PE,2022,130814,Rural
255,PE,2022,3946586,Total
2,PI,2013,80129,Commercial
1,PI,2013,3600,Industrial
5,PI,2013,695,Public Lighting
4,PI,2013,14309,Public Sector
6,PI,2013,5348,Public Service
0,PI,2013,967464,Residential
3,PI,2013,30302,Rural
8,PI,2013,1102020,Total
9,PI,2014,83476,Commercial
8,PI,2014,3526,Industrial
12,PI,2014,365,Public Lighting
11,PI,2014,14279,Public Sector
13,PI,2014,5976,Public Service
7,PI,2014,1006280,Residential
10,PI,2014,30268,Rural
35,PI,2014,1144333,Total
16,PI,2015,86158,Commercial
15,PI,2015,3354,Industrial
19,PI,2015,393,Public Lighting
18,PI,2015,15024,Public Sector
20,PI,2015,5852,Public Service
14,PI,2015,1031703,Residential
17,PI,2015,30385,Rural
62,PI,2015,1173064,Total
23,PI,2016,90984,Commercial
22,PI,2016,3415,Industrial
26,PI,2016,423,Public Lighting
25,PI,2016,15550,Public Sector
27,PI,2016,6203,Public Service
21,PI,2016,1079035,Residential
24,PI,2016,31587,Rural
89,PI,2016,1227344,Total
30,PI,2017,93127,Commercial
29,PI,2017,3131,Industrial
33,PI,2017,456,Public Lighting
32,PI,2017,16138,Public Sector
34,PI,2017,6390,Public Service
28,PI,2017,1114076,Residential
31,PI,2017,33021,Rural
116,PI,2017,1266485,Total
37,PI,2018,93128,Commercial
36,PI,2018,2890,Industrial
40,PI,2018,513,Public Lighting
39,PI,2018,16138,Public Sector
41,PI,2018,6676,Public Service
35,PI,2018,1114210,Residential
38,PI,2018,33021,Rural
143,PI,2018,1266722,Total
44,PI,2019,94854,Commercial
43,PI,2019,2882,Industrial
47,PI,2019,624,Public Lighting
46,PI,2019,16045,Public Sector
48,PI,2019,7066,Public Service
42,PI,2019,1114558,Residential
45,PI,2019,64700,Rural
170,PI,2019,1300895,Total
51,PI,2020,86760,Commercial
50,PI,2020,2455,Industrial
54,PI,2020,822,Public Lighting
53,PI,2020,16361,Public Sector
55,PI,2020,7819,Public Service
49,PI,2020,1099861,Residential
52,PI,2020,114234,Rural
197,PI,2020,1328482,Total
58,PI,2021,86979,Commercial
57,PI,2021,2415,Industrial
61,PI,2021,780,Public Lighting
60,PI,2021,16394,Public Sector
62,PI,2021,8510,Public Service
56,PI,2021,1132019,Residential
59,PI,2021,118000,Rural
224,PI,2021,1365242,Total
65,PI,2022,88216,Commercial
64,PI,2022,2377,Industrial
68,PI,2022,788,Public Lighting
67,PI,2022,16797,Public Sector
69,PI,2022,8847,Public Service
63,PI,2022,1193877,Residential
66,PI,2022,111130,Rural
251,PI,2022,1422074,Total
2,PR,2013,347663,Commercial
1,PR,2013,95649,Industrial
5,PR,2013,12916,Public Lighting
4,PR,2013,39542,Public Sector
6,PR,2013,4373,Public Service
0,PR,2013,3428226,Residential
3,PR,2013,379414,Rural
20,PR,2013,4308666,Total
9,PR,2014,378504,Commercial
8,PR,2014,93220,Industrial
12,PR,2014,12306,Public Lighting
11,PR,2014,40455,Public Sector
13,PR,2014,4820,Public Service
7,PR,2014,3548796,Residential
10,PR,2014,379170,Rural
47,PR,2014,4458132,Total
16,PR,2015,386480,Commercial
15,PR,2015,89606,Industrial
19,PR,2015,12784,Public Lighting
18,PR,2015,40025,Public Sector
20,PR,2015,5026,Public Service
14,PR,2015,3641991,Residential
17,PR,2015,375192,Rural
74,PR,2015,4551900,Total
23,PR,2016,391850,Commercial
22,PR,2016,83670,Industrial
26,PR,2016,12187,Public Lighting
25,PR,2016,40567,Public Sector
27,PR,2016,5096,Public Service
21,PR,2016,3714348,Residential
24,PR,2016,367111,Rural
101,PR,2016,4615594,Total
30,PR,2017,399869,Commercial
29,PR,2017,78015,Industrial
33,PR,2017,12462,Public Lighting
32,PR,2017,40363,Public Sector
34,PR,2017,5189,Public Service
28,PR,2017,3801253,Residential
31,PR,2017,361917,Rural
128,PR,2017,4699806,Total
37,PR,2018,410496,Commercial
36,PR,2018,74825,Industrial
40,PR,2018,12973,Public Lighting
39,PR,2018,39912,Public Sector
41,PR,2018,5502,Public Service
35,PR,2018,3876539,Residential
38,PR,2018,359215,Rural
155,PR,2018,4780151,Total
44,PR,2019,417352,Commercial
43,PR,2019,73814,Industrial
47,PR,2019,13613,Public Lighting
46,PR,2019,39931,Public Sector
48,PR,2019,5596,Public Service
42,PR,2019,3952776,Residential
45,PR,2019,360026,Rural
182,PR,2019,4863785,Total
51,PR,2020,423711,Commercial
50,PR,2020,72719,Industrial
54,PR,2020,14571,Public Lighting
53,PR,2020,40386,Public Sector
55,PR,2020,5798,Public Service
49,PR,2020,4076516,Residential
52,PR,2020,354662,Rural
209,PR,2020,4989033,Total
58,PR,2021,434156,Commercial
57,PR,2021,72844,Industrial
61,PR,2021,6936,Public Lighting
60,PR,2021,40475,Public Sector
62,PR,2021,5859,Public Service
56,PR,2021,4170754,Residential
59,PR,2021,349505,Rural
236,PR,2021,5081207,Total
65,PR,2022,442075,Commercial
64,PR,2022,70894,Industrial
68,PR,2022,7216,Public Lighting
67,PR,2022,41332,Public Sector
69,PR,2022,5986,Public Service
63,PR,2022,4263340,Residential
66,PR,2022,337995,Rural
